# This is a continuation of trace file F:\Курсы\FormsHomework\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2022-08-25 05:35:44.783
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.803 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.804 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.FormCommandInterfaceImpl@bfba7296 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.804 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.804 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.FormFieldImpl@eed99f98 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.805 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.805 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.InputFieldExtInfoImpl@884c1f98 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.806 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.806 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.form.model.impl.ExtendedTooltipImpl@181aa99d |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.806 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@60785b49 |
| Worker-193: Экспорт ресурсов проекта: HW22 | 2022-08-25 05:35:44.807 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@48511c9e |
